osm_edge_id,physical_edge_id,directed_edge_count,road_name,road_class,length_m,length_m_for_density,traffic_lanes_estimated,traffic_lanes_source,traffic_speed_estimated_kmh,traffic_speed_estimate_source,traffic_speed_08_09_kmh,traffic_speed_daily_avg_kmh,traffic_speed_used_kmh,traffic_speed_source,traffic_lanes_avg,traffic_lanes_max,topis_link_count,topis_record_count,estimated_traffic_volume,inverse_speed_risk,crosswalk_count,crosswalk_weight,traffic_signal_count,traffic_signal_weight,nearest_crosswalk_distance_m,nearest_signal_distance_m,crosswalk_count_per_100m,traffic_signal_count_per_100m,child_facility_count_300m,child_facility_count_300m_capped,road_6lane_or_traffic_weight,child_facility_weight,final_local_method_weight,pedestrian_accident_hybrid_weight,local_method_risk_index,local_method_safety_index,local_method_risk_decile,geometry_wkt
2824756184_8482861591_0,2824756184_8482861591_0,2,,service,173.56456629436926,173.56456629436926,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,1,1.0,0,0.0,0.08,0.0,0.5761544659432262,0.0,12.0,6.0,1.0,1.019,1.019,0.0,0.2689644670538732,-0.2689644670538732,8,"LINESTRING (126.958214 37.486419, 126.958206 37.486122, 126.958206 37.486065, 126.958193 37.486033, 126.958062 37.48595, 126.958021 37.485922, 126.957997 37.485884, 126.957997 37.485848, 126.958029 37.48573, 126.95801 37.485703, 126.95797 37.485694, 126.957696 37.485657, 126.957648 37.485643, 126.957627 37.485624, 126.957607 37.485601, 126.957591 37.485571, 126.9576 37.485475, 126.957603 37.485409, 126.957615 37.485274, 126.957608 37.485185)"
2824756186_4644001003_0,2824756186_4644001003_0,2,양녕로2가길,residential,37.87937913513827,37.87937913513827,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.0,-0.9282886295848563,0.9282886295848563,6,"LINESTRING (126.947275 37.484155, 126.947223 37.483816)"
2824756187_2825727784_0,2824756187_2825727784_0,2,청림5길,residential,7.380551292110161,20.0,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.019,1.019,0.0,-0.9282886295848563,0.9282886295848563,6,"LINESTRING (126.959898 37.4902, 126.95984 37.490248)"
2824756187_8482847651_0,2824756187_8482847651_0,2,관악로30길,residential,682.6958737697764,682.6958737697764,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,6,6.0,2,2.0,3.734,9.365,0.8788686486222066,0.29295621620740225,13.0,6.0,1.0,1.019,1.019,2.166667,2.281872298623589,-2.281872298623589,9,"LINESTRING (126.959898 37.4902, 126.960102 37.49022, 126.960234 37.49021, 126.96033 37.490169, 126.960376 37.490097, 126.96046 37.489969, 126.960666 37.489775, 126.961377 37.48915, 126.96154 37.488991, 126.961633 37.488873, 126.961686 37.488745, 126.961705 37.488676, 126.96173 37.488488, 126.961792 37.487975, 126.961884 37.486997, 126.961981 37.486336, 126.962068 37.485629, 126.962072 37.485498, 126.961881 37.485397, 126.961623 37.485327, 126.961408 37.485336, 126.961217 37.485361)"
2824756188_2824756358_0,2824756188_2824756358_0,2,남부순환로245길,service,18.182989880105357,20.0,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.965179 37.477251, 126.965223 37.477314, 126.965315 37.477368)"
2824756188_2824756377_0,2824756188_2824756377_0,2,솔밭로2길,service,97.45267321606735,97.45267321606735,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.019,1.019,1.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.965179 37.477251, 126.964188 37.477638)"
2824756189_2824756326_0,2824756189_2824756326_0,2,남부순환로247나길,service,117.04077911719787,117.04077911719787,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.966424 37.476731, 126.965598 37.477554)"
2824756189_2824756513_0,2824756189_2824756513_0,2,남부순환로247길,service,31.832997538557628,31.832997538557628,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.966424 37.476731, 126.966709 37.476906)"
2824756193_2824756338_0,2824756193_2824756338_0,2,관악로28길,service,49.841496878034675,49.841496878034675,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959735 37.483247, 126.959773 37.483325, 126.959778 37.483383, 126.959746 37.48343, 126.959534 37.48356, 126.959496 37.483587)"
2824756193_2824756380_0,2824756193_2824756380_0,2,행운9길,service,41.92853181422531,41.92853181422531,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959735 37.483247, 126.960068 37.483015, 126.960093 37.482999)"
