walk_edge_id,source_u,source_v,length_m,walking_type,crosswalk,overpass,bridge,tunnel,building,park_green,emd_nm,edge_safety_basis,case_A_subtype,matched_road_id,matched_road_risk_index,matched_road_risk_pct,safety_score_0_1,geometry_wkt,case_A_reference_distance_m,case_A_reference_overlap_ratio,case_A_reference_angle_diff_deg,nearest_road_distance_m,distance_discount_factor,case_D_distance_m,crossing_mapping_strategy,crosswalk_midpoint_road_id,crosswalk_midpoint_road_distance_m,walking_risk_score_0_1
88741,89702.0,89703.0,27.28,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_parallel_separated,2822487117_436811684_0,13.053752068800112,0.9702058504875406,0.0,"LINESTRING (126.90850236836256 37.48382207470222, 126.90881060328306 37.483831085819915)",12.812323936117586,0.999634624136474,1.4727239971102712,,,,,,,0.0
100739,52155.0,52282.0,20.418,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2824632231_2824632251_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.91559216703244 37.462841757260776, 126.91545236799624 37.462695379598436)",,,,,,,,,,0.48733748645720476
100689,35562.0,35561.0,16.529,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,10602992315_13208283661_0,-0.9282886295848564,0.48733748645720476,0.4764958422241123,"LINESTRING (126.91965035929691 37.46289964172574, 126.9197764901927 37.46300951077055)",,,,5.889867456075084,0.9777533135981229,,,,,0.4764958422241123
101246,33798.0,110487.0,33.876,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,4370508414_5403582169_0,0.7907189167976515,0.7617822318526544,0.7617822318526544,"LINESTRING (126.91765241555565 37.48222776683667, 126.91770228594234 37.481925139272136)",,,,,,,,,,0.7617822318526544
101098,83519.0,120151.0,135.478,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,4140716860_4140716861_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.9504649645146 37.490304286385424, 126.9490507868677 37.49077357963641)",,,,,,,,,,0.13326110509209102
101760,79495.0,79426.0,90.497,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,4619505765_4619505769_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.95501040242095 37.482051687067596, 126.95507632611434 37.48200590210888, 126.95525096372118 37.48170988561649, 126.95542888879731 37.481316034039)",,,,,,,,,,0.13326110509209102
101836,37525.0,89303.0,71.023,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,1844752502_1844752521_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.92443017685027 37.487387937628014, 126.92393459019085 37.48755354019023, 126.92384863354333 37.48735323582632)",,,,0.0,1.0,,,,,0.48733748645720476
101843,18210.0,18211.0,37.988,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,4196299969_4196299972_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.96474808372707 37.47285856284063, 126.9651758228904 37.47288906903642)",,,,,,,,,,0.13326110509209102
101847,92730.0,92769.0,22.973,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2841340636_2841340642_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.9352543424807 37.465755179751405, 126.93550131762218 37.46569123489365)",,,,,,,,,,0.48733748645720476
101103,100909.0,100584.0,46.761,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_named_local_parallel_separated,1916457902_1916457923_0,-0.9282886295848564,0.48733748645720476,0.0,"LINESTRING (126.93796288536831 37.471452876987826, 126.93797976573393 37.471873982032356)",4.359240381216319,0.9996266574130287,0.8072217783245748,,,,,,,0.0
101124,92496.0,92503.0,50.823,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2841340605_2841340606_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.93436833549194 37.467686242454064, 126.93494259492616 37.46767282860136)",,,,,,,,,,0.13326110509209102
101125,37157.0,37159.0,9.334,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,13208283661_13208283688_0,13.049332919532487,0.9700704225352113,0.4436401571994343,"LINESTRING (126.91936955819739 37.46253808025349, 126.91946707880386 37.462570166898395)",,,,29.693943699055076,0.45732778455404477,,,,,0.4436401571994343
