walk_edge_id,source_u,source_v,length_m,walking_type,edge_safety_basis,safety_score_0_1,crosswalk_mapping_strategy,crosswalk_mapping_warning,crosswalk_midpoint_road_distance_m,matched_road_id,road_name,road_class,local_method_risk_index,local_method_safety_index,local_method_risk_decile,traffic_speed_source,traffic_lanes_source,estimated_traffic_volume,traffic_speed_used_kmh,traffic_lanes_avg,crosswalk_count,traffic_signal_count,pedestrian_accident_hybrid_weight
138798,121348.0,121305.0,247.82,1000,case_D_crosswalk,0.6958599897051254,nearest_over_80m,nearest_road_over_80m,368.6244467067576,11549138045_10612116675_0,,residential,-0.2937621677113742,0.2937621677113742,8,,road_class_default,80.0,,,0,0,0.0
250892,121348.0,120802.0,616.355,1000,case_D_crosswalk,0.7584748878594014,nearest_over_80m,nearest_road_over_80m,309.53484784806864,1789842816_1789933612_0,,service,0.0243038115785685,-0.0243038115785685,8,,osm_lanes,120.0,,,0,0,0.0
15858,113768.0,113769.0,87.19,1000,case_D_crosswalk,0.8591072873005368,nearest_over_80m,nearest_road_over_80m,100.6132790663531,5553494545_13234700565_0,원신길,tertiary,1.6322577171501167,-1.6322577171501167,9,,road_class_default,260.0,,,1,0,0.0
259611,18426.0,117007.0,519.794,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,375.6681445243981,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
273810,117010.0,117009.0,305.094,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,247.1321082608676,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
161099,117008.0,116905.0,805.253,1000,case_D_crosswalk,0.8932642106037209,max_risk_intersecting_road,nearest_road_over_80m,176.23453188389038,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
163401,117000.0,117001.0,170.712,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,504.2593760391467,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
163149,116825.0,116824.0,191.833,1000,case_D_crosswalk,0.8932642106037209,max_risk_intersecting_road,nearest_road_over_80m,81.135397675572,4278630730_2618210025_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,1.0
174637,117012.0,117002.0,432.616,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,522.6458128266831,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
72581,116904.0,117011.0,695.012,1000,case_D_crosswalk,0.8932642106037209,max_risk_intersecting_road,nearest_road_over_80m,123.56435211491387,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
66116,117008.0,117010.0,231.752,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,220.9364799328609,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
180994,117001.0,117007.0,121.971,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,541.1374470498106,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
180276,117001.0,117003.0,287.499,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,724.6833962481838,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
225351,115466.0,117000.0,623.018,1000,case_D_crosswalk,0.8932642106037209,max_risk_intersecting_road,nearest_road_over_80m,147.0285781761176,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
224339,117000.0,117007.0,84.093,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,454.54027665365146,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
271443,117012.0,117013.0,192.246,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,307.0863650288543,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
516,117010.0,117011.0,389.795,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,339.4861841469541,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
60971,116825.0,116826.0,383.17,1000,case_D_crosswalk,0.8932642106037209,max_risk_intersecting_road,nearest_road_over_80m,142.2156289593425,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
167018,116905.0,116909.0,410.416,1000,case_D_crosswalk,0.8932642106037209,max_risk_intersecting_road,nearest_road_over_80m,142.61501530572062,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
189489,117002.0,117011.0,133.588,1000,case_D_crosswalk,0.8932642106037209,nearest_over_80m,nearest_road_over_80m,510.6147977682063,5235882981_2618197768_0,강남순환로,trunk,2.3354691503103324,-2.3354691503103324,9,weekday_08_09,topis_observed,7280.0,73.97631818181819,3.2,0,0,0.0
160395,69544.0,69545.0,175.969,1111,case_D_crosswalk,0.9452165600411796,nearest_over_80m,nearest_road_over_80m,182.1455260616241,13204897821_13208105823_0,,secondary,4.582005311540145,-4.582005311540145,10,,road_class_default,480.0,,,1,1,0.0
225550,26.0,214142.0,419.786,1011,case_D_crosswalk,0.977571880285315,max_risk_intersecting_road,nearest_road_over_80m,175.20153348054808,1835221217_1835221331_0,,secondary,6.941739991889714,-6.941739991889714,10,,road_class_default,480.0,,,2,2,1.6
96174,30.0,214143.0,410.209,1011,case_D_crosswalk,0.977571880285315,max_risk_intersecting_road,nearest_road_over_80m,179.32335373188158,1835221217_1835221331_0,,secondary,6.941739991889714,-6.941739991889714,10,,road_class_default,480.0,,,2,2,1.6
153504,214154.0,214149.0,800.382,1011,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,25.34733134783177,1835246030_1835246025_0,관천로,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
84965,115155.0,115159.0,14.386,1000,case_D_crosswalk,0.0116185013603941,max_risk_intersecting_road,,2.3957699132397705,11549138035_2841340671_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
115008,32228.0,32226.0,116.62,1011,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,24.40832462337224,1872054423_11413637654_0,성현로,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
263220,115159.0,115168.0,32.942,1000,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,20.893330294836723,11549138035_2841340671_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
267527,115168.0,115337.0,55.337,1000,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,60.04579394894136,2841340671_2841340669_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
79089,115161.0,115162.0,29.464,1000,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,66.86643550769772,11549138035_2841340671_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
81072,32222.0,32228.0,13.305,1011,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,56.54047008414271,1872054423_11413637654_0,성현로,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
228123,115159.0,115161.0,98.274,1000,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,27.591935220115733,11549138035_2841340671_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
58040,115162.0,115337.0,34.96,1000,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,78.91465048702354,11549138035_2841340671_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
196796,32222.0,32223.0,19.449,1011,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,60.45837317319649,1872054423_11413637654_0,성현로,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
205898,115161.0,115159.0,63.533,1000,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,39.63225584145739,11549138035_2841340671_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
23645,115162.0,115168.0,42.991,1000,case_D_crosswalk,0.0116185013603941,nearest_within_80m,,51.828075336026245,11549138035_2841340671_0,대학길,tertiary,-0.8620916538873243,0.8620916538873243,1,,road_class_default,260.0,,,0,0,0.0
149297,116908.0,116907.0,63.016,1000,case_D_crosswalk,0.1382822266343113,nearest_within_80m,,23.099890595915795,6388396597_2254642409_0,승방1길,service,-0.7199163053369803,0.7199163053369803,3,,road_class_default,30.0,,,0,0,0.0
