searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,lon,lat
,,,1,3,10,False,2022011700100011,00,2022,2022년  1월,1,월요일,02,야간,04,04시,1162010200,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,947289,1942982,01,맑음,998,기타 - 기타,N,02,중상사고,0,1,2,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,53,51-60세,1,남,500,보행자,500,보행자,200,부상,220,경상,65,65세 이상,1,남,00,상해없음,98,기타,없음,01, 건조, ,   ,104,-,신사로,20220001551121,,,0.0,0.0,,,,,,,,2022008184,,126.9037801973224,37.48457558840452
,,,1,3,10,False,2022011800100076,00,2022,2022년  1월,2,화요일,01,주간,08,08시,1162010100,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,951016,1942391,01,맑음,110,교차로 - 교차로안,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,57,51-60세,2,여,500,보행자,500,보행자,200,부상,220,경상,39,31-40세,1,남,00,상해없음,98,기타,없음,01, 건조, 새터공인중개사,   ,104,-,쑥고개로,20220001591121,,,0.0,0.0,,,,,,,,2022008753,,126.94597415708556,37.47945395721333
,,,1,3,10,False,2022011800100203,00,2022,2022년  1월,2,화요일,01,주간,12,12시,1162010100,서울특별시 관악구,100,차대사람,130,길가장자리구역통행중,130,차대사람 - 길가장자리구역통행중,06,안전운전불이행,952527,1942027,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,38,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,22,21-30세,1,남,00,상해없음,20,좌측 발,없음,01, 건조, 건물 앞 노상,   ,104,-,봉천로,20220001611121,,,0.0,0.0,,,,,,,,2022008875,,126.96308686140414,37.47625201205346
,,,1,3,10,False,2022011800100546,00,2022,2022년  1월,2,화요일,02,야간,20,20시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,949278,1942470,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,31,31-40세,1,남,500,보행자,500,보행자,200,부상,210,중상,70,65세 이상,2,여,00,상해없음,03,앞면 가슴,없음,01, 건조, ,   ,,,,20220001671121,,,0.0,0.0,,,,,,,,2022009198,,126.9263122235952,37.48007219690902
,,,1,3,10,False,2022012000100004,00,2022,2022년  1월,4,목요일,02,야간,01,01시,1162010200,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,98,기타,948927,1943548,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,43,41-50세,1,남,500,보행자,500,보행자,200,부상,210,중상,76,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,횡단보도 횡단보도 2차로상,   ,104,-,신사로,20220001801121,,,0.0,0.0,,,,,,,,2022009790,,126.92226762967923,37.48976911709638
,,,1,3,10,False,2022012000100020,00,2022,2022년  1월,4,목요일,02,야간,05,05시,1162010200,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,951157,1941029,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,29,21-30세,1,남,500,보행자,500,보행자,200,부상,210,중상,79,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조, 버스정류장(21159) 인근,   ,104,-,신림로,20220001811121,,,0.0,0.0,,,,,,,,2022009806,,126.94765919498023,37.467185326547884
,,,1,3,10,False,2022012000100112,00,2022,2022년  1월,4,목요일,01,주간,10,10시,1162010100,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,03,안전거리미확보,950207,1942937,01,맑음,120,교차로 - 교차로부근,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,31,31-40세,1,남,500,보행자,500,보행자,200,부상,220,경상,60,51-60세,2,여,00,상해없음,12,우측 대퇴부,없음,01, 건조, 남부순환로,   ,104,-,남부순환로,20220003371121,,,0.0,0.0,,,,,,,,2022009897,,126.93678755223992,37.4843319378959
,,,1,3,10,False,2022012000100265,00,2022,2022년  1월,4,목요일,01,주간,15,15시,1162010100,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,02,신호위반,951646,1941916,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,59,51-60세,1,남,500,보행자,500,보행자,200,부상,210,중상,73,65세 이상,2,여,00,상해없음,14,우측 발,없음,01, 건조, 일방통행길,   ,104,-,관악로,20220001831121,,,0.0,0.0,,,,,,,,2022010042,,126.95313057375665,37.47520584070126
,,,1,3,10,False,2022012100100566,00,2022,2022년  1월,5,금요일,02,야간,19,19시,1162010200,서울특별시 관악구,100,차대사람,140,보도통행중,140,차대사람 - 보도통행중,98,기타,948093,1943260,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,65,65세 이상,1,남,500,보행자,500,보행자,200,부상,220,경상,27,21-30세,2,여,00,상해없음,14,우측 발,없음,01, 건조, ,   ,104,-,봉천로,20220002711121,,,0.0,0.0,,,,,,,,2022010903,,126.91285427764579,37.48712680310424
,,,1,3,10,False,2022012200100258,00,2022,2022년  1월,6,토요일,01,주간,15,15시,1162010200,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,949983,1941062,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,69,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,62,61-64세,1,남,00,상해없음,19,좌측 하퇴부,없음,01, 건조, ,   ,,,,20230000491121,,,0.0,0.0,,,,,,,,2022011304,,126.93438136632477,37.467419964588274
