LINK_ID,ROAD_NAME,ROAD_RANK,LENGTH,도로코드,보행안전지수,intersection_length_m,accident_count_link
2260124901,백운로,107,7.505679555215,491,27.11576391,7.505674247189765,0
2090049804,흥안대로434번길,107,137.598518468087,581,5.735696568,7.483086738110292,0
2260053100,백운로,107,297.969219327783,2239,2.574761691,7.465530426980198,0
2260045601,왕송못동로,107,13.412522968623,2212,-9.831625654,7.4450140692384545,1
2260057401,위인로,107,13.559449415589,2143,-9.874605199,7.425945050192624,0
2260142100,봇들4길,107,25.580391663548,331,5.255069876,7.4067604056940874,0
2007024202,수원북부순환로,102,522.047053195331,584,-0.183988034,7.37166621979362,0
2250019001,고산로211번길,107,10.844736737274,2345,-8.487595093,7.334278770889496,0
2090026600,관평로,107,137.796304677942,348,1.730221899,7.314997544910471,1
2260053404,철도박물관로,107,11.028708629502,2243,-8.190220663,7.313608665546503,0
2260045405,왕송못동로,107,16.289636700542,2211,-12.23034851,7.305159548494811,0
2260057101,모락로,107,13.09554004353,2253,-11.0872328,7.27414487990271,0
2260150702,청계로,107,12.958458000373,2066,-5.48010424,7.152476264333657,0
2260154703,왕송못서길,107,69.246384365489,89,-18.48752578,7.1488797210253905,0
2260144402,고래들길,107,7.136019418743,403,39.79488764,7.136017893134792,0
2260060501,가나무로,107,11.163479013907,2266,-14.82198571,7.11207878890568,0
2260024603,부곡중앙북3길,107,13.262317163975,290,48.61980731,7.105932273380911,0
2260136001,백운호수로,107,12.26078339414,546,-11.88820737,7.095387023860161,0
2260066900,부곡복지관길,107,7.057514755096,2287,1.559524375,7.057514755095821,0
2260127200,월암길,107,174.583739165605,2347,-3.098217187,7.010492732896831,0
2260152902,경수대로,103,12.883252641427,2014,-0.802943385,6.98476363125428,0
2260046600,부곡시장길,107,100.439575521605,299,21.57862892,6.962497089947362,2
2260034401,신장승길,107,36.66054003469,88,-15.93851151,6.932478336496242,1
2260024100,부곡복지관길,107,126.323958272425,2121,-1.609833224,6.894438377376683,0
2260139300,맑은내길,107,108.244692091262,314,-1.244132299,6.889105910388608,0
2090026700,관평로,107,138.835802981631,348,1.730221899,6.8686180934494185,0
2260041901,능애고개길,107,13.105988906536,2191,-13.65731467,6.832077441413614,0
2260028302,청계로,107,12.426364583549,2139,-5.957284151,6.8177212228716435,0
2260042001,능애고개길,107,13.774219746109,2191,-13.65731467,6.808746398027227,0
2260139002,맑은내길,107,179.787965674026,9,-2.399535814,6.792845581622537,0
2260056301,덕영대로,107,13.105569842436,2250,-14.0133771,6.755517043058822,0
2260143501,덕영대로,107,12.335284854435,397,10.65778816,6.752066479010525,1
2260016102,전주남이길,107,46.852163333478,292,21.26513351,6.744131543562164,0
2250087500,산본로55번길,107,64.914143436993,191,4.217910662,6.741636983550554,0
2260021404,오전공업길,107,10.304924258938,2108,-1.579786167,6.708701959496864,0
2260049100,모락로,107,475.889094533308,229,16.15033247,6.702493484852571,3
2260053203,부곡중앙남1길,107,23.138318540713,102,-14.09021974,6.695996878259214,0
2260136100,백운호수로1길,107,108.051310553192,388,-6.601074713,6.6743205975784035,0
2250088200,맑은내1길,107,72.62683578968,191,4.217910662,6.660945454566165,0
2260067701,부곡복지관길,107,13.282332400781,2291,-13.16364392,6.660365176102976,0
2260007603,흥안대로,103,12.996887825639,2029,5.295780577,6.642215009178455,0
