도로코드,보행안전지수,accident_count,mapped_link_count
1,-9.862328646,0,1
2,5.538082862,0,0
3,-0.11983598,2,0
4,26.45927842,0,1
5,-9.276831973,0,0
6,4.13725098,1,0
7,7.57691966,0,0
8,18.40138182,0,0
9,-2.399535814,1,1
10,-8.410923318,0,0
11,10.20243032,0,3
12,-5.200578008,0,0
13,5.447445816,0,0
14,7.631824309,2,0
15,-6.956420397,0,0
16,15.38992687,0,0
17,23.7664449,0,1
18,5.832072438,0,0
19,12.73618034,0,0
20,0.747264988,0,2
21,17.07645077,1,0
22,35.42620702,0,0
23,51.04028195,0,0
24,13.17292219,0,0
25,1.422946848,0,0
26,10.00933105,1,0
27,42.40174932,0,0
28,54.74189171,0,1
29,29.75644839,0,2
30,-1.717756888,0,0
31,32.45090336,0,2
32,13.31734193,0,0
33,9.085166726,0,0
34,14.12630431,0,0
35,17.07915735,1,0
36,14.24036508,1,0
37,-6.78781049,0,2
38,25.64201812,0,1
39,11.44446453,0,0
40,2.549294507,2,5
41,13.42646901,0,0
42,11.94387309,3,2
43,-0.110736812,0,5
44,15.99726616,0,0
45,7.095567296,0,0
46,14.64931806,0,0
47,8.21548126,0,0
48,9.734197985,0,0
49,-0.202987702,1,0
50,7.778721933,0,0
51,10.93256315,0,0
52,9.535684906,0,0
53,-5.752425397,0,0
54,-12.91326777,0,0
55,3.6193847,0,0
56,-0.463804278,0,0
57,0.249436449,0,0
58,-8.903245448,0,1
59,13.731614,0,0
60,9.81448223,0,0
61,5.404340744,0,0
62,13.92079799,0,0
63,-12.81606876,0,0
64,-7.027894441,0,0
65,-11.23784379,0,0
66,52.9427625,0,0
67,-8.32805862,0,0
68,-5.889524903,0,0
69,2.953518465,0,0
70,-1.653828324,0,0
71,0.132714522,0,0
72,4.069887009,0,0
73,1.073548192,0,0
74,19.60236254,0,0
75,14.53225169,0,0
76,8.792059836,0,6
77,22.69662635,0,0
78,13.21001126,0,0
79,15.30103133,0,0
80,15.86103752,0,0
81,4.986486516,0,0
82,-0.875941058,0,0
83,1.185038146,0,0
84,-5.349950898,0,0
85,8.69084524,0,1
86,-15.93851151,0,0
87,-10.69715312,0,0
88,-15.93851151,1,1
89,-18.48752578,0,5
90,-15.93851151,0,4
91,-15.93851151,0,1
92,-14.30911983,0,3
93,-10.23097034,0,0
94,-17.14983839,0,0
95,-4.770815215,0,0
96,-15.93851151,0,0
97,-14.80839403,0,0
98,10.82015071,0,0
99,10.87550026,0,0
100,-15.93851151,0,1
101,10.78195663,0,1
102,-14.09021974,1,4
103,21.760597,0,0
104,5.004710336,0,0
105,6.623259231,0,0
106,22.32088363,0,4
107,23.56754479,2,2
108,26.98967314,2,0
109,10.27375471,0,0
110,28.86340232,0,0
111,3.496044619,0,0
112,1.353627264,0,0
113,11.4040525,0,0
114,-3.889035913,1,0
115,-9.92875784,0,0
116,7.94152403,0,0
117,0.44867701,0,0
118,5.508078109,0,0
119,6.513704038,0,0
120,11.80611315,0,1
121,-0.834449204,0,0
122,8.618810528,0,0
123,-0.659882514,0,1
124,5.135360524,0,0
125,2.790355021,0,0
126,-1.084221384,0,0
127,-5.569866838,0,0
128,0.18470413,0,0
129,3.023060397,0,0
130,14.29267667,0,0
131,8.966847921,1,0
132,-2.040160867,0,0
133,2.190028288,0,0
134,-5.418678538,0,0
135,7.106917439,0,0
136,-14.55415349,0,1
137,3.280225744,0,0
138,10.60829768,0,0
139,-3.446091555,0,0
140,-7.027669174,0,0
141,-1.034020254,0,0
142,1.787020066,0,0
143,7.380391043,0,0
144,6.468797491,0,0
145,37.17609258,0,0
146,3.332183564,0,0
147,7.933876524,0,0
148,-1.926863799,0,0
149,6.391180843,0,0
150,12.91737263,0,1
151,1.966509354,0,0
152,5.27166999,0,1
153,17.06913704,0,1
154,1.019704802,0,0
155,2.753100689,2,0
156,49.21976071,0,0
157,24.67917899,0,0
158,14.71882175,0,0
159,5.80221167,0,1
160,-1.232810979,0,0
161,8.14234212,0,0
162,12.08085543,0,0
163,5.226931888,0,0
164,-0.015833446,0,0
165,-15.13939778,0,0
166,-15.93851151,0,0
167,-6.594277181,0,0
168,-7.653660711,0,0
169,0.22858068,0,0
170,4.839483843,0,2
171,9.060573263,0,0
172,-3.901284544,0,0
173,-6.145240136,0,0
174,-8.559010086,1,0
175,10.06113185,0,1
176,1.56437449,0,0
177,-5.870822649,0,1
178,-13.01558264,0,0
179,1.092005505,0,1
180,-8.333061543,0,0
181,-12.73925801,0,0
182,-14.81392781,0,0
183,-13.32168371,1,0
184,-12.41018751,0,0
185,-14.72342662,0,0
186,-18.48752578,0,1
187,14.04516411,0,0
188,-5.478461763,0,0
189,14.24879694,0,1
190,17.95635785,1,6
191,4.217910662,0,2
192,-17.18171541,0,0
193,0.612757023,0,0
194,1.065729663,0,0
195,-4.660146688,0,0
196,-14.55440592,0,0
197,-7.593894026,0,0
198,1.106633351,0,0
199,-9.784919652,0,0
200,-4.720325346,1,0
201,-3.361555734,0,0
202,-9.654601784,0,3
203,-2.149200396,0,0
204,10.43323717,0,0
205,-6.235294888,0,1
206,9.326426862,0,0
207,1.925919279,0,0
208,-5.77785908,0,0
209,4.437602403,0,0
210,-15.16521756,0,0
211,-4.962833248,0,0
212,0.374862508,0,0
213,9.081442897,1,0
214,15.41395796,0,0
